token	Agreement	Hate	Agreement_coordinate	Hate_coordinate	occurrences
animal	0.6293478260869565	0.2793478260869565	0.258695652173913	-0.44130434782608696	920
broom	0.5714285714285714	0.8571428571428571	0.1428571428571428	0.7142857142857142	7
car	0.7129909365558912	0.513595166163142	0.42598187311178237	0.027190332326284095	331
cartoon	0.6371571072319202	0.38154613466334164	0.2743142144638404	-0.23690773067331672	3208
cat	0.7307692307692307	0.21794871794871795	0.46153846153846145	-0.5641025641025641	156
dog	0.5979899497487438	0.2864321608040201	0.1959798994974875	-0.42713567839195976	199
child	0.6134055517941774	0.45091401489505756	0.22681110358835488	-0.09817197020988488	1477
crockery	0.7468354430379747	0.3670886075949367	0.49367088607594933	-0.2658227848101266	79
dishwasher	0.5	1.0	0.0	1.0	6
kitchen	0.7012987012987013	0.45454545454545453	0.4025974025974026	-0.09090909090909088	77
kitchenutensil	0.7027027027027027	0.3783783783783784	0.4054054054054055	-0.2432432432432432	37
man	0.6501079913606912	0.4330453563714903	0.3002159827213824	-0.1339092872570195	4630
woman	0.6276645041705282	0.6628822984244671	0.25532900834105643	0.3257645968489342	4316
nudity	0.7318181818181818	0.9681818181818181	0.4636363636363636	0.9363636363636363	220
